upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
ЮАО,Чертаново Центральное,116 536,115 518,115 489,114 058,113 204,,,18054,17265,,1893,1714,1366,1576,1679,,,,,,420,455,300,382,,1,2,0,4,,11,12,7,20,,75,64,79,127,111,20,20,38,29,,1007,892,688,791,,55,68,38,47,97,68,70,81,84,,353,270,134,269,,21,17,17,24,,,,98,116,,1192,1020,767,1164,892,604,684,570,713,316,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/ChertanovoTsentralnoye
ЮАО,Чертаново Южное,147 907,146 977,146 322,144 973,144 518,,,23930,22887,22314,1700,1419,1660,1653,1501,,,,21,0,,415,580,584,567,4,7,1,5,9,15,12,16,20,23,89,74,101,102,108,28,19,25,43,18,838,737,701,793,685,34,74,60,63,84,123,94,115,155,108,154,183,139,184,208,17,12,,19,,304,152,207,235,,,,,,,,,,891,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/ChertanovoYuzhnoye
ЮЗАО,Академический,109 063,108 516,108 274,107 836,107 628,,,,,,2127,1732,1497,1502,1514,,,,,,552,479,423,448,432,,,3,2,2,,,6,13,8,43,68,100,118,110,21,27,36,39,31,831,831,831,944,966,,71,74,93,92,,67,87,127,113,386,386,223,129,122,,,,,,102,,92,74,69,932,1045,948,1046,936,642,851,820,890,712,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Akademichesky
ЮЗАО,Гагаринский,78 973,78 407,78 391,77 894,77 379,,,14000,,,1091,1104,1201,1347,1319,,32,,,,239,307,307,410,390,1,0,3,1,1,5,4,2,4,3,49,61,92,109,118,22,17,32,32,18,,616,755,930,907,25,38,62,102,106,52,64,66,117,97,109,124,104,87,100,,,0,3,2,,,103,50,56,805,692,796,987,946,489,524,645,788,640,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Gagarinsky
ЮЗАО,Зюзино,126 296,125 052,124 978,124 317,124 093,,,,,,1423,1511,1519,1613,1570,,,16,110,,414,549,495,429,350,,,5,9,5,,,8,9,9,63,84,109,146,152,14,11,30,30,12,756,752,939,981,810,51,71,68,71,85,55,71,127,124,,154,215,149,112,126,,,22,21,31,148,292,204,118,83,,851,805,1034,892,,688,650,913,695,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Zyuzino
ЮЗАО,Коньково,156 148,155 667,155 468,154 820,154 297,,23000,,,,2179,2194,1873,2079,1951,,,,,,,571,513,469,509,3,4,2,2,2,,9,14,10,13,,90,106,150,132,24,32,18,31,25,1208,1183,1105,,,80,74,69,82,114,123,127,126,123,121,293,348,,,,,,,,,193,236,217,100,117,,,1031,1359,1321,,,827,1195,943,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Konkovo
ЮЗАО,Котловка,65 831,65 584,65 537,65 283,64 826,15306,15552,13168,12335,12434,965,971,965,1109,915,,10,14,2,,236,229,237,326,201,,1,3,1,,3,10,4,13,11,35,37,51,49,49,6,9,13,12,14,582,553,551,650,561,24,44,59,33,45,38,38,59,63,44,116,121,96,163,83,2,7,10,13,27,108,93,75,72,38,606,636,616,720,643,300,384,431,483,411,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Kotlovka
ЮЗАО,Ломоносовский,87 573,87 065,86 694,85 924,84 986,14126,,,,,1000,1010,903,962,948,,11,,,,197,242,276,273,291,,,0,2,5,2,4,2,8,3,30,57,54,74,61,6,10,10,17,12,587,583,502,558,557,29,54,64,80,87,56,48,90,83,96,70,95,48,98,33,,,1,10,24,66,73,73,52,51,634,602,538,647,,396,470,458,545,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Lomonosovsky
ЮЗАО,Обручевский,84 122,83 469,82 748,81 679,79 623,16663,14426,13548,12610,,1330,1363,1155,1087,1114,,,,,,256,316,310,286,281,2,7,3,1,6,,,8,,,60,45,46,64,62,9,13,17,17,23,,766,709,724,704,10,39,37,46,58,81,86,116,113,106,159,175,119,98,70,,,,11,31,65,107,97,55,44,889,880,784,820,789,533,628,629,623,639,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Obruchevsky
ЮЗАО,Северное Бутово,94 787,93 911,93 226,91 942,91 036,21199,19078,14779,12707,,1079,1122,1208,1128,1169,,,21,11,,,199,222,255,426,,3,3,3,0,2,4,2,6,13,34,59,66,75,73,5,9,22,20,8,,521,578,623,504,,15,37,37,24,,49,74,95,116,,128,210,139,152,,6,20,16,20,,98,65,74,,,615,654,704,652,,437,486,578,488,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/SevernoyeButovo
ЮЗАО,Тёплый Стан,133 857,133 069,132 987,132 379,131 368,18530,18682,14319,15250,,1152,1213,1029,1520,1491,,,,,,295,374,340,411,,,,5,2,7,,,3,9,10,,66,76,108,117,,13,18,27,37,,575,481,812,716,,28,29,57,72,66,79,69,82,58,,138,95,145,133,,,,,,121,203,179,151,105,747,755,573,1016,,,,498,935,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/TyoplyStan
ЮЗАО,Черёмушки,107 542,106 587,105 883,104 672,103 517,,19385,,,,1508,2021,1456,1589,,,,,,,,465,405,390,,4,2,3,,,11,5,11,,,44,52,63,104,,13,14,22,23,,825,962,863,1080,,54,49,55,,,74,87,106,,,178,319,143,138,,6,8,14,,,148,191,149,117,,,1167,858,1098,,,901,648,903,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Cheryomushki
ЮЗАО,Южное Бутово,204 226,200 169,196 209,191 531,179 306,48286,50198,40678,35565,,1628,1549,1379,1357,,,44,84,8,,407,405,413,389,,5,3,10,6,,10,17,20,15,,49,50,72,67,,,7,14,34,,992,899,743,760,,25,22,31,,,137,134,136,172,,120,142,65,83,,6,15,21,23,,,221,116,101,,1132,803,662,776,,587,648,539,655,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/YuzhnoyeButovo
ЮЗАО,Ясенево,177 809,177 014,176 936,176 448,176 109,25504,25253,23729,,,1966,1997,1684,2001,,,,73,84,,562,543,476,509,,4,6,7,,,13,22,18,24,,88,99,112,115,,22,24,24,21,,867,911,831,1172,,49,39,26,59,,79,77,91,116,,241,328,136,,,,,,,,205,315,174,,,1162,1295,1101,1380,,707,872,758,1033,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Yasenevo
ЮЗАО,РУДН,,,,,,,1159,832,770,,,86,83,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,56,63,,,39,32,39,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/RUDN
ЗАО,Внуково,24 453,24 023,23 518,23 007,21 921,6141,4675,2933,,,329,282,228,193,,,,,,,93,107,90,61,,,,,,,,,,,,10,7,8,7,,3,4,4,3,,127,97,91,67,,7,12,11,20,,8,18,15,4,,21,20,8,,,,,,,,48,69,42,25,,186,107,102,71,,128,90,90,67,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Vnukovo
ЗАО,Дорогомилово,71 964,71 109,70 862,69 714,68 215,26235,19050,15765,14439,,1709,1561,1592,1562,,,,,,,465,538,520,,,6,2,3,,,9,6,10,,,104,84,89,143,,20,17,24,25,,931,746,801,900,,25,36,28,43,,45,65,61,77,,274,304,,,,1,2,,,,95,132,,,,1252,897,792,914,,679,559,582,616,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Dorogomilovo
ЗАО,Крылатское,82 046,81 051,80 797,80 131,79 823,16553,,,,,895,716,708,890,894,,,,,,234,208,256,385,260,1,0,,3,0,7,1,4,3,2,30,26,30,27,45,9,5,7,4,8,503,404,337,446,620,15,13,17,25,37,35,,49,72,91,161,98,124,154,72,,0,2,1,2,58,81,,77,49,623,465,444,560,527,328,296,322,329,358,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Krylatskoye
ЗАО,Кунцево,150 189,148 164,146 930,145 809,144 606,,22048,18757,18599,,1806,1484,1090,1367,1555,,,,,,551,417,409,423,524,5,10,,,,,,12,15,,117,110,60,113,,15,13,13,16,28,1027,871,526,703,,73,81,67,55,84,100,98,64,80,118,203,162,137,132,,,,10,13,,175,105,,,,1096,928,543,618,671,670,635,430,484,583,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Kuntsevo
ЗАО,Можайский,136 836,135 712,135 527,134 765,133 217,,28780,,24836,28793,1754,1504,1232,1748,1988,47,73,,,,459,414,345,524,,3,2,9,7,,8,6,12,13,,123,106,91,114,,12,17,10,18,,983,811,731,980,,67,67,65,74,123,95,111,124,158,166,203,173,91,,,16,8,,,,121,84,,,,1046,884,670,1063,,681,632,534,906,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Mozhaysky
ЗАО,Ново-Переделкино,120 737,119 183,117 883,115 836,112 093,,15494,13294,13427,,1133,1002,916,946,897,,,,,,228,257,252,266,236,5,1,2,5,,6,5,13,10,10,31,37,35,43,49,1,9,12,10,,626,531,434,497,,15,25,35,55,45,40,54,78,65,87,,60,69,61,61,,,9,12,31,148,146,95,69,78,782,577,507,487,470,434,374,395,367,379,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Novo-Peredelkino
ЗАО,Очаково-Матвеевское,126 347,124 580,122 600,120 327,119 412,32074,29481,25300,22323,21140,1668,1531,1344,1334,1296,,,,40,89,519,478,,408,394,3,4,6,4,4,8,11,20,9,14,67,63,51,86,86,23,14,19,18,18,906,829,662,798,731,42,50,42,55,54,133,141,138,145,127,202,146,,,,,,,1,,143,137,95,46,76,985,882,746,1303,,746,698,643,754,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Ochakovo-Matveyevskoye, http://ochakovo.mos.ru/presscenter/news-on-main/detail/2583479.html?word_file=y;%20ochakovo.mos.ru/presscenter/news/detail/1560938.html?word_file=y"
ЗАО,Проспект Вернадского,63 452,62 921,62 709,62 214,61 587,17980,13322,,,,1121,1018,1064,755,801,,42,,,,367,406,503,214,218,,,,,,,,,,,59,65,57,65,,13,10,16,11,,480,385,423,430,,26,23,45,36,,45,45,,,,121,124,,,,,,,,,,,40,15,,762,594,482,445,,407,361,349,336,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/ProspektVernadskogo
ЗАО,Раменки,136 421,133 595,131 629,128 211,126 031,27436,23230,,,,1916,1616,1471,1793,1307,,,,,,497,452,370,475,421,2,3,3,2,,8,6,7,6,5,59,70,54,88,67,15,19,7,21,18,1214,1091,993,1235,830,42,83,57,86,98,117,141,156,165,170,261,145,101,,,13,15,,,,133,66,65,36,55,1310,1056,966,1104,397,780,750,669,865,338,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Ramenki
ЗАО,Солнцево,122 410,119 584,118 806,117 049,114 962,26100,21285,,,,1706,1578,1263,1186,1133,,,,,,411,396,287,247,277,,,,10,,,,,,,59,62,53,66,,6,8,13,5,5,782,725,571,592,,23,38,19,20,41,60,76,83,90,94,179,204,,88,,,,,,,,,,72,,1034,868,589,697,,588,598,449,558,452,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Solntsevo
ЗАО,Тропарёво-Никулино,121 346,119 568,118 742,117 231,114 587,22173,20410,17415,15440,16076,1779,1485,1744,1760,1540,,,,,,496,457,525,440,,,3,3,,,,3,5,,,100,108,112,151,134,12,12,27,29,17,,876,1076,1175,1010,29,45,51,50,81,124,115,109,110,137,210,132,153,,,,,,,,,149,149,93,,1252,1043,1102,1238,788,733,671,783,974,624,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Troparyovo-Nikulino
ЗАО,Филёвский Парк,91 974,91 288,90 827,90 243,89 949,21011,17925,,,,1193,935,931,1054,,,63,,,,483,290,336,262,,6,,,,,,,2,7,,51,43,28,65,,,12,13,12,,649,472,480,698,,28,34,28,42,,63,28,47,64,,,87,154,,,,6,5,,,,150,106,,,713,545,492,678,,358,315,320,432,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/FilyovskyPark
ЗАО,Фили-Давыдково,114 526,113 266,112 983,112 377,111 921,25766,21511,,,,1289,1049,801,1022,798,,,,,,392,346,417,340,267,,3,2,5,,4,3,6,9,,83,70,71,75,,13,4,8,14,,684,551,485,519,,30,59,46,45,,67,71,,,,96,83,180,56,,,6,10,,,179,135,122,57,,886,671,506,566,,607,541,425,489,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Fili-Davydkovo
ЗАО,МГУ,,,,,,,,,,,137,168,101,113,252,,,,,,18,37,22,22,21,,,,,,,,,,,,5,11,6,16,,2,1,2,,89,60,61,77,146,,,,0,,,,3,4,5,,14,2,3,5,,,,,,8,32,,,,112,101,79,89,,70,69,52,66,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/MGU
СЗАО,Куркино,31 846,30 108,28 967,26 824,22 247,,,,,,440,424,367,361,277,4,,,,,101,98,84,100,,,,2,2,1,,,1,1,2,,,18,15,11,,,4,4,5,305,,261,264,185,18,22,14,23,17,,,21,34,39,36,,18,7,9,,,1,1,4,31,29,17,29,22,277,241,201,226,187,173,164,172,160,139,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Kurkino
СЗАО,Митино,188 342,184 730,183 064,180 354,179 548,,,,,,1849,1668,1625,2031,2020,,,,,,393,431,370,581,,,,2,6,6,,7,21,16,16,,90,156,147,133,,13,,24,32,,,1050,1285,1185,,19,25,44,65,,132,136,164,271,,,,122,202,,,,9,11,,,,135,117,1308,957,1047,1264,1231,794,622,822,826,847,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Mitino
СЗАО,Покровское-Стрешнево,56 964,56 424,56 214,55 497,54 890,17315,16794,,,,2277,2581,1474,1160,1184,1358,1694,551,229,,239,307,346,480,515,,,5,1,2,,,9,15,13,66,54,97,75,77,,19,26,29,22,453,435,464,492,463,23,18,32,27,25,34,42,50,49,40,113,60,73,94,61,,4,7,5,7,,,97,93,51,635,530,,558,536,333,350,379,343,292,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Pokrovskoye-Streshnevo
СЗАО,Северное Тушино,164 549,163 627,162 050,158 479,157 569,41326,,33723,,,1883,1744,1982,1849,1619,,,,,,,427,540,519,,5,6,,8,3,15,17,,16,20,111,91,144,218,149,25,15,41,27,31,,,1144,1074,939,,67,76,77,63,90,101,115,121,120,244,210,,114,101,,,,6,7,,,78,130,100,1217,1036,1104,1223,1012,,779,885,782,644,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/SevernoyeTushino
СЗАО,Строгино,158 802,158 223,157 994,156 917,156 473,32316,30206,,,,2096,1961,1949,1785,1706,53,,,,,418,468,413,534,443,4,0,,3,4,6,9,13,9,9,96,104,84,103,119,20,12,16,13,11,941,871,1059,999,980,45,39,56,63,54,77,119,110,135,146,215,,,94,127,,25,25,45,56,192,260,193,273,179,1328,1025,951,1097,1115,821,806,767,787,799,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Strogino
СЗАО,Хорошёво-Мнёвники,170 724,170 609,169 813,168 495,167 913,43090,,,,,1848,1780,1832,1897,2005,35,73,,,,521,529,519,514,582,6,,,5,7,10,,,12,16,66,85,114,126,135,13,,,28,22,1020,929,,1150,1167,90,75,90,89,131,93,122,145,155,160,152,172,,139,135,23,23,,35,46,199,185,,127,157,1281,1046,922,1211,1288,767,775,731,835,834,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Khoroshevo-Mnevniki
СЗАО,Щукино,109 147,108 624,108 542,107 269,106 180,30522,25849,24311,22001,,1794,1935,2192,2074,2039,,,,,,,,483,529,577,,,2,6,3,,,9,11,17,,,153,152,133,,,,25,33,,,,1156,1028,34,64,74,83,95,,,76,102,91,,,,250,225,,,,26,15,,,,168,144,,,1153,1429,1333,611,668,732,694,659,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/Shchukino
СЗАО,Южное Тушино,108 049,107 269,106 985,105 713,105 092,25879,,,,,1831,1574,1573,1552,1400,,,120,134,,438,386,388,448,386,2,3,0,0,1,,,8,14,7,,71,82,82,77,,19,23,24,39,997,849,840,874,768,42,39,50,74,67,,,102,117,113,253,142,137,93,102,4,14,14,8,22,,,124,142,84,,,,861,767,,,,597,523,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO/YuzhnoyeTushino
ЗелАО,Крюково,94 263,91 184,89 357,88 213,85 614,,,,19187,,1331,1229,1103,900,901,,,,,,316,278,208,225,218,4,4,0,2,4,12,9,9,9,8,33,30,43,45,57,10,10,10,16,11,573,548,538,471,469,14,18,23,44,19,25,31,44,30,28,219,191,122,108,75,6,14,20,16,15,183,138,90,71,84,634,504,475,447,421,322,329,336,328,326,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/ZelenogradskyAO/Kryukovo
ЗелАО,Матушкино-Савёлки,73 595,72 360,71 950,70 968,70 818,,21096,19680,16523,15381,1083,1129,915,,891,,,,,,228,236,209,165,149,0,3,1,2,,9,11,13,9,,28,40,45,41,,4,8,14,14,,473,527,395,478,,4,25,27,19,22,16,29,31,41,23,193,147,133,87,69,,,,,,152,126,95,69,45,535,568,415,502,,302,387,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/ZelenogradskyAO/Matushkino-Savyolki
ЗелАО,Силино-Старое Крюково,70 039,68 945,68 619,67 296,67 152,,17304,15179,12235,11767,1039,918,957,780,781,,,,44,41,229,236,196,172,162,1,5,1,2,,5,9,15,3,,28,19,26,31,,2,6,12,,,462,360,392,359,,9,9,19,21,16,4,25,24,31,7,,135,130,88,69,,4,6,,,150,151,105,69,,497,403,406,418,346,248,272,275,290,262,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/ZelenogradskyAO/Silino-StaroyeKryukovo
ТИНАО,Троицк,80484,75846,71577,67136,,,,,,,1238,948,,,,,,,,,479,330,,,,4,3,,,,16,17,8,,,52,53,,,,12,7,8,,,529,436,,,,112,122,98,,,39,67,,,,60,29,,,,4,13,,,,148,129,,,,476,394,313,,,261,318,255,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Troitsky
ТИНАО,Щербинский,42642,40748,38905,35328,,12650,9426,,,,679,571,,,,96,,,,,217,195,,,,1,5,,,,3,12,,,,19,12,,,,7,4,,,,277,233,,,,11,18,,,,29,37,,,,110,26,,,,7,10,,,,52,88,,,,652,571,,,,177,181,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Shcherbinsky
ТИНАО,Коммунарский,58071,53131,50344,50040,,,,,,,1640,1583,,,,73,,,,,512,553,,,,2,2,2,,,10,19,,,,91,138,,,,27,28,,,,1058,968,,,,140,111,90,,,95,108,,,,100,88,,,,21,15,,,,86,102,,,,1004,1000,,,,511,586,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Kommunarsky
ТИНАО,Московский,79295,70108,57429,52960,,21473,19594,12560,,,1834,1567,1174,,,72,,,,,607,637,492,,,5,11,,,,17,18,14,,,94,122,133,,,19,22,21,,,1186,898,,,,144,138,96,,,144,182,,,,122,99,,,,29,33,,,,97,116,104,,,,,,,,681,667,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Moskovsky
ТИНАО,Красносельское,18729,18294,18026,17931,,,4460,,,,535,493,318,,,,,,,,209,200,135,,,3,6,,,,6,4,,,,11,16,,,,5,3,,,,229,221,,,,45,49,,,,8,22,,,,42,15,,,,16,5,,,,97,95,,,,197,179,,,,147,152,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Krasnoselskoe
ТИНАО,Куриловское,14175,13923,13762,13683,,,3188,2293,,,345,306,,,,,,,,,55,62,,,,6,3,,,,2,2,,,,,8,,,,3,7,,,,168,128,,,,44,41,,,,11,16,,,,6,3,,,,6,2,,,,17,33,,,,127,108,,,,99,104,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Kurilovskoe
ТИНАО,Рязановское,20115,19604,19303,19218,,4159,3400,,,,298,310,,,,,,,,,67,93,,,,0,1,,,,2,5,,,,5,13,,,,1,2,,,,121,117,,,,12,24,,,,15,14,,,,16,18,,,,9,1,,,,28,16,,,,119,106,,,,77,72,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO/Ryazanovskoye